RTkey,longitude,latitude,x,y,altitude,speed_x_component,speed_y_component,course,speed,alt_speed,relative_bearing_to_exit_point,alt_diff_wrt_exit_point,h_diff_wrt_exit_point,timestamp,flight_phase
4803309,-0.5478822064503508,40.909886564245895,864223.4482495004,705574.7377809285,33000.0,-209.02302106823552,-62.69915189766125,253.30270586171002,218.22421264648438,0.0,-7.728174838048631,1635.4368488194668,12921.142578125,1547541300,cruising
4803311,-0.39754675585131205,38.882821758454426,885164.8600257457,481371.2124588699,39000.0,-34.40318758338643,-233.56092712680535,188.37933062243562,236.0811004638672,0.0,183.87868404456916,6844.579577192115,150568.125,1547541300,descending
4803319,-0.6134026212755833,40.96474906122328,858502.4871290713,711465.0861074828,35000.0,-226.86650149265097,-49.29480951662928,257.7410129761566,232.16026306152344,0.0,36.04390302846127,2906.3105464584005,10586.689453125,1547541300,cruising
4803322,-0.29986691368919827,39.07378911993674,892821.5668303977,502851.2285958524,37000.0,-30.70109404881587,-233.24279667257633,187.49857471407967,235.25466918945312,0.0,185.6468391754661,4844.579577192115,128691.03125,1547541300,descending
4803335,0.12487179510702841,41.33709548097873,918774.7954256971,755135.9205263131,36000.0,227.24029485332213,42.11098650819629,79.5013438059467,231.1092529296875,0.0,-6.647671926671592,0.0,31220.3359375,1547541300,cruising
4803344,-0.23209675325173,41.35148799416865,888883.8229789766,755514.8087016797,36600.0,228.77099624967946,6.625335362364393,88.34114600447276,228.86691284179688,16.666666666666668,-0.046754780890751135,600.0,61064.98828125,1547541300,cruising
4803354,1.010128203375118,39.55900460026344,1003115.7897062595,561720.1249052606,39000.0,-220.90201888551462,-46.33709196791753,258.1532216424437,225.70960998535156,0.0,-16.254068754466175,5509.312466923919,180871.296875,1547541300,cruising
4803374,-0.19210407256486572,39.69809438294524,899415.9416836859,572391.0162064179,33000.0,-162.2204224404672,-165.018716248058,224.51006313651828,231.40147399902344,0.0,-4.624512307136541,6000.0,122179.890625,1547541300,cruising
4803375,-0.05990447960007765,40.15059877990025,908690.6220469241,622984.9416938502,41000.0,-31.04114424781428,-225.77328202824825,187.82840850406362,227.89718627929688,0.0,-118.11340635446263,8844.579577192115,14464.46875,1547541300,descending
4803393,0.23828259272162017,40.13614392910832,934116.6162113047,622458.4544294577,34700.0,-164.51196258579523,-169.2849217366131,224.18078390712705,236.05416870117188,23.333333333333332,-0.17101664763259805,2300.0,181813.65625,1547541300,climbing
4803397,0.11018313238575847,40.59969379939726,921032.1632172093,673352.4470469912,37000.0,-26.436799770421672,-233.09018610803446,186.4707645434493,234.58460998535156,0.0,-23.40002783482643,4844.579577192115,48293.09375,1547541300,cruising
4803429,0.16629943376628312,41.11789152474191,923287.5623691314,730986.6625969337,37000.0,-32.57808835978733,-234.39652063645863,187.91268218875555,236.649658203125,0.0,-6.895642635837788,4844.579577192115,102930.3046875,1547541300,cruising
4803446,0.3056595346003174,41.700739858122134,932072.5157956508,796111.1530227334,39000.0,-33.72254571420799,-236.73398368897648,188.10719015934566,239.12379455566406,0.0,-3.925450307150953,6844.579577192115,168334.578125,1547541300,cruising
4803459,0.3723745913273256,41.96126271942516,936299.4021268012,825248.3917700795,37000.0,-31.828649986324553,-226.69677622609484,187.99219165164118,228.92027282714844,0.0,-3.478213349968371,4844.579577192115,197722.328125,1547541300,cruising
4803463,0.392996441386598,42.032982925040784,937641.8593386522,833279.6084901746,41000.0,-31.029939817881573,-226.19155316348662,187.81132558174215,228.31004333496094,0.0,-13.15823222686825,0.0,365002.90625,1547541300,cruising
4803477,0.4787611628223316,42.288923222717976,943404.8067478866,861992.251060847,37000.0,-19.476927665118886,-232.4721268253985,184.78915741737154,233.28660583496094,0.0,-6.597560821354023,4844.579577192115,235145.578125,1547541300,cruising
4803288,-0.7116229506227486,38.42817177122899,859639.1659936429,430018.9469268243,36000.0,-42.42933250941189,-229.14547861883958,190.49026453584563,233.04055146830413,0.0,-39.91822418519345,1000.0,93948.9609375,1547541300,cruising
